---------------------------------
| rollout/           |          |
|    ep_len_mean     | 280      |
|    ep_rew_mean     | 0        |
| time/              |          |
|    fps             | 282      |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 253         |
|    iterations           | 2           |
|    time_elapsed         | 16          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.010101391 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.8       |
|    explained_variance   | -2.44       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0255     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.997       |
|    value_loss           | 0.00728     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 3           |
|    time_elapsed         | 24          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.014443597 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.8       |
|    explained_variance   | 0.621       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.045      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0245     |
|    std                  | 0.999       |
|    value_loss           | 0.00176     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 4           |
|    time_elapsed         | 32          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.016855896 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.8       |
|    explained_variance   | 0.686       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0628     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.03       |
|    std                  | 0.998       |
|    value_loss           | 0.00155     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 5           |
|    time_elapsed         | 40          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.014026761 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.7       |
|    explained_variance   | 0.783       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00665    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0183     |
|    std                  | 0.994       |
|    value_loss           | 0.00116     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 280          |
|    ep_rew_mean          | 0            |
| time/                   |              |
|    fps                  | 248          |
|    iterations           | 6            |
|    time_elapsed         | 49           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0139684025 |
|    clip_fraction        | 0.157        |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.7        |
|    explained_variance   | 0.841        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0345      |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0219      |
|    std                  | 0.989        |
|    value_loss           | 0.000952     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 7           |
|    time_elapsed         | 57          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.011289399 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.7       |
|    explained_variance   | 0.838       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0186     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.019      |
|    std                  | 0.991       |
|    value_loss           | 0.000614    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 251         |
|    iterations           | 8           |
|    time_elapsed         | 65          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.012306364 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.7       |
|    explained_variance   | 0.846       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0275     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0175     |
|    std                  | 0.99        |
|    value_loss           | 0.000502    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 280        |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 254        |
|    iterations           | 9          |
|    time_elapsed         | 72         |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.01263429 |
|    clip_fraction        | 0.141      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.7      |
|    explained_variance   | 0.806      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0399    |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0222    |
|    std                  | 0.988      |
|    value_loss           | 0.000422   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 254         |
|    iterations           | 10          |
|    time_elapsed         | 80          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.013992123 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.7       |
|    explained_variance   | 0.842       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0132     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0207     |
|    std                  | 0.987       |
|    value_loss           | 0.000463    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 280        |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 253        |
|    iterations           | 11         |
|    time_elapsed         | 88         |
|    total_timesteps      | 22528      |
| train/                  |            |
|    approx_kl            | 0.01207079 |
|    clip_fraction        | 0.129      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.884      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0177    |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0189    |
|    std                  | 0.981      |
|    value_loss           | 0.00029    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 254         |
|    iterations           | 12          |
|    time_elapsed         | 96          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.012483713 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.871       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0371     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0194     |
|    std                  | 0.975       |
|    value_loss           | 0.000226    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 256         |
|    iterations           | 13          |
|    time_elapsed         | 103         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.013262816 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00534    |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0244     |
|    std                  | 0.972       |
|    value_loss           | 0.000213    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 257         |
|    iterations           | 14          |
|    time_elapsed         | 111         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.012986102 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.906       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0234     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0199     |
|    std                  | 0.972       |
|    value_loss           | 0.000152    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 258         |
|    iterations           | 15          |
|    time_elapsed         | 118         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.013858555 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.867       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0339     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0235     |
|    std                  | 0.971       |
|    value_loss           | 0.000166    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 0           |
| time/                   |             |
